brand,file,name
Unknown Customs,UCD-2,UCD-2
Unknown Customs,UCD-3,UCD-3
Unknown Customs,Quad 2.0,Quad 2.0
Unknown Customs,"['Juno Min Bass', 'Juno Max Bass']",Juno
Urbanfun,YBF-ISS014,YBF-ISS014
VE,BIE,Bonus In-Ears
VE,Duke C,Duke (Custom)
VE,Biggie,Monk IE Biggie
VE,Smalls,Monk IE Smalls
Veedix,Diamond String,Diamond String
Vision Ears,Elysium,Elysium
Vision Ears,"['Erlkonig 1', 'Erlkonig 2', 'Erlkonig 3', 'Erlkonig 4']",Erlkonig
Vision Ears,Eve 20,EVE 20
Vision Ears,EXT,EXT
Vision Ears,"['VE3.2', 'VE3.2 C']",VE3.2
Vision Ears,VE42,VE4.2
Vision Ears,VE5,VE5
Vision Ears,VE6X1,VE6X1
Vision Ears,VE6X2,VE6X2
Vision Ears,VE7,VE7
Vision Ears,"['VE8', 'VE8 C', 'VE8 C S2']",VE8
VSonic,Ares,Ares
VSonic,GR01,GR01
VSonic,GR07 BE,GR07 Bass Edition
VSonic,GR07 Classic,GR07 Classic
VSonic,GR07 Mk2,GR07 Mk2
VSonic,VC02,VC02
VSonic,VS7,VS7
VSonic,VSD1S,VSD1S
VSonic,VSD2S,VSD2S
VSonic,VSD3S,VSD3S
Warbler,"['Prelude', 'Prelude S2']",Prelude
Westone,4R,4R
Westone,ES60 C,ES60 C
Westone,UM Pro 10,UM Pro 10
Westone,UM Pro 20,UM Pro 20
Westone,UM Pro 30,UM Pro 30
Westone,UM Pro 50,UM Pro 50
Westone,W10,W10
Westone,W20,W20
Westone,W30,W30
Westone,W40,W40
Westone,W50,W50
Westone,W60,W60
Westone,W80,W80
W+G,T-One,T-One
Whizzer,HE01,HE01
Whizzer,A-HE03,A-HE03
Whizzer,A15,A15
Whizzer,A15 Pro,A15 Pro
XENNS,UP,UP
XENNS,Tea 2,Mangird Tea 2
Xiaomi,Mi Quad,HiFi Hybrid (Mi Quad)
Yamaha,EPH100,EPH-100
Yanyin,Aladdin,Aladdin
Yanyin,"['Canon 000', 'Canon 100', 'Canon 020', 'Canon 003', 'Canon 123']",Canon
Yanyin,Moonlight,Moonlight
Yinyoo,Ash Yinyoo,Ash
Yinyoo,Topaz Filterless,Topaz (filterless)
Zero Audio,Basso,Carbo Basso ZH-DX210-CB
Zero Audio,Doppio,Carbo Doppio ZH-BX700
Zero Audio,Singolo,Carbo Singolo ZH-BS150-CS
Zero Audio,Tenore,Carbo Tenore ZH-DX200-CT
Zero Audio,Duoza,Duoza ZH-DWX10
